ID NO,Name,Title,Date,Venue,Region,Oppose/Support,Party Affiliation,IDNO,Name,Month,Day ,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
1133,Wilson,Representative,5-Mar-02,House,Iraq,1,R,1133,Wilson,3,5,2,186,16.91,30.65,68.82,38.71,8.06,4.84,1.61,3.23,0,0,0,3.23,3.76,11.29,4.3,2.69,3.23,1.08,1.61,13.98,4.84,0,2.69,1.08,0,4.84,0,0,1.08,10.75,3.23,7.53,1.08,5.91,0,10.75,0,1.08,1.08,1.08,2.15,1.08,4.3,0.54,0.54,0,0.54,0,0,0,0,0,0,17.2,1.61,11.29,4.3,2.15,3.76,0,0,0.54,0,2.69,0,0,0,7.53,7.53,0.54,0,0,0,0,0,1.08,0,0,16.67
808,Paul,Representative,20-Mar-02,House,Iraq,0,R,808,Paul,3,20,2,686,16.73,32.94,75.36,45.77,7,3.94,0.73,2.62,0,0.44,0.15,3.06,9.77,9.77,7.58,1.02,5.1,1.6,2.33,10.06,4.08,1.75,3.21,1.75,0,6.56,0,0.15,0.87,9.33,4.23,4.96,0.15,3.06,0.29,14.72,1.17,1.31,2.92,1.6,1.75,1.75,4.08,1.46,1.02,0.15,0.44,0.44,1.31,0.15,1.17,0,0,10.35,1.02,6.27,2.92,2.19,2.48,0.15,0.29,2.62,0,1.02,0,0,0.15,7.14,5.69,0,0.15,0.29,0,0.15,0,0.44,0,0.15,13.99
665,Jackson-Lee,Representative,17-Jun-02,House,Iraq,0,D,665,Jackson-Lee,6,17,2,1281,21,29.59,74.94,46.37,10.93,5.46,1.8,2.42,0,0.86,0.39,5.46,6.17,11.4,7.1,2.19,6.87,0.78,2.42,12.18,6.09,1.48,1.72,0.23,0,8.04,0,0,1.25,6.25,2.42,3.83,0.86,2.42,0.47,18.5,3.51,1.95,1.48,1.95,0.7,1.09,6.48,2.5,1.25,0.16,0.7,0.16,0.86,0.23,0.39,0,0.23,12.57,3.51,7.26,1.8,3.36,2.81,0.16,0.08,0.31,0,0.62,0.23,0.31,0.23,6.4,5.46,0,0.16,0.31,0,0.78,0,0.94,0,0,14.05
666,Jackson-Lee,Representative,4-Sep-02,House,Iraq,0,D,666,Jackson-Lee,9,4,2,185,20.56,27.57,81.62,51.89,11.89,7.03,4.32,2.7,0,0,0,4.86,5.95,16.22,10.27,2.7,9.19,2.7,1.08,12.97,7.03,1.08,2.7,0,0,10.27,0,0,2.16,7.03,4.32,2.7,0,2.16,0.54,15.68,1.62,1.08,2.16,2.7,1.08,0.54,6.49,2.7,2.7,0,2.7,0,0,0,0,0,0,11.89,1.62,7.57,2.7,3.24,2.16,0,1.08,0.54,0,2.16,0,0,0,4.86,4.86,0,0,0,0,1.08,0,0.54,0,0,11.35
809,Paul,Representative,4-Sep-02,House,Iraq,0,R,809,Paul,9,4,2,218,27.25,33.03,72.48,43.12,10.09,4.59,0.92,3.21,0,0,0.46,5.5,5.05,9.63,5.96,1.83,4.59,1.83,1.38,8.72,5.05,3.21,4.13,1.38,0,7.34,0,0.46,0.46,7.8,2.75,5.05,0.46,2.75,0.46,21.1,3.67,2.29,2.75,2.29,3.21,2.29,6.42,3.21,2.29,0,0.92,0.46,0.46,0.46,0,0,0,8.26,0.92,3.67,3.21,3.21,0,0,0.92,1.38,0,1.38,0,0,0,4.13,4.13,0,0,0,0,1.38,0,2.29,0,0.46,12.39
810,Wilson,Representative,4-Sep-02,House,Iraq,1,R,810,Wilson,9,4,2,202,15.54,28.22,73.76,53.47,14.36,8.42,2.97,4.95,0,0.5,0,5.94,8.91,14.85,10.89,2.48,9.9,0.5,3.47,9.9,4.46,0.99,0.5,0.5,0,8.42,0,0,1.49,5.45,1.98,3.47,0.99,2.48,0,14.85,0.99,0.5,1.49,1.98,0.5,0.5,7.43,1.98,0.99,0,0.99,0,0,0,0,0,0,11.39,1.49,4.46,5.45,1.49,0.99,0,0,0,0.5,0,0,0,0,6.44,8.42,0,0.99,0,0,0,0,0,0,0,15.84
587,DeFazio,Representative,5-Sep-02,House,Iraq,0,D,587,DeFazio,9,5,2,795,17.28,31.45,71.7,47.55,9.94,3.9,1.76,0.75,0,0.25,1.13,6.04,8.3,11.07,8.05,2.14,6.54,1.26,3.77,12.08,4.28,1.64,1.51,0.13,0,5.91,0.38,0,0.75,6.29,1.51,4.65,0.5,3.4,0.25,13.96,2.77,1.38,2.14,2.14,0.5,0.25,3.65,2.77,0.5,0,0.38,0,0.38,0,0.38,0,0,10.69,2.14,5.16,3.14,3.14,2.77,0.25,0.13,0.88,0.13,1.01,0,0,0,2.89,6.79,0.13,0,3.27,0,0.5,0,0.63,0,0.13,14.34
760,McGovern,Representative,5-Sep-02,House,Iraq,0,D,760,McGovern,9,5,2,764,18.19,26.31,79.19,49.61,8.64,4.06,2.09,1.7,0,0,0.26,4.58,7.46,11.13,7.98,1.44,6.41,2.62,3.27,14.53,6.94,0.26,2.49,0.13,0,5.24,0,0.26,0.65,4.58,2.23,2.09,0.26,1.57,0,18.59,2.62,2.23,2.23,1.83,1.18,1.44,6.94,0.79,1.18,0,0.92,0.26,0.65,0.13,0.52,0,0,15.18,1.7,8.64,4.45,4.19,3.53,0.26,0,0.52,0,0.52,0,0,0.13,5.89,3.01,0,0,1.18,0,0.65,0,0,0,0,10.73
765,McInnis,Representative,9-Sep-02,House,Iraq,1,R,765,McInnis,9,9,2,8134,19.84,16.97,86.3,60.44,16.7,8.77,2,3.27,0.93,0.82,1.73,7.93,7.28,16.14,10.44,2.53,10.41,1.35,2.95,14.32,5.24,2.08,2.68,0.34,0,10.43,0.06,0.3,0.98,5,1.93,3.06,0.32,1.87,0.34,17.86,1.77,1.52,1.71,2.51,1.56,0.6,6.15,3.29,1.71,0.7,0.73,0.22,1.33,0.57,0.7,0.04,0.02,13.66,2.1,7.08,4.25,2.25,1.97,0.31,0.14,0.38,0.16,0.37,0.07,0.12,0.15,5.19,6.39,0.16,0.31,0.32,0,0.21,0,1.48,0,0.07,14.13
588,DeFazio,Representative,10-Sep-02,House,Iraq,0,D,588,DeFazio,9,10,2,761,23.06,27.07,75.16,51.51,10.78,5.12,0.79,1.58,0,1.18,1.58,5.65,8.41,11.96,8.02,2.37,6.7,1.31,2.63,11.96,5.91,1.45,3.29,0.66,0,9.07,0.26,0,0.92,4.6,1.71,2.89,0.26,2.1,0,18.4,3.81,0.92,2.23,3.81,1.71,0.26,4.99,3.02,0.79,0,0.66,0.13,0.13,0.13,0,0,0,10.12,0.92,4.86,4.07,2.5,1.71,0,0.26,0.26,0.39,1.05,0.13,0.26,0,4.34,6.57,0,0.39,0.39,0,0.26,0,2.5,0,0,14.45
